id,video_id,video_path,question,ground_truth,raw_prediction,normalized_ground_truth,normalized_prediction,patch_count,error_category,review_status,review_note
train_0455,571aa876_403_clip_008_0044_0053_Y,/workspace/RoadBuddy/data/train/videos/571aa876_403_clip_008_0044_0053_Y.mp4,"Trong video, có phải xuất hiện biển báo nguy hiểm không?",A. Phải,B. Không,A,B,5,visual_recognition,needs_manual_review,Inspect the source video and revise this note.
train_0666,deaf528d_442_clip_005_0035_0040_N,/workspace/RoadBuddy/data/train/videos/deaf528d_442_clip_005_0035_0040_N.mp4,"Trong video, biển báo nào xuất hiện bên phải màn hình?",A. Biển cấm ô tô,B. Biển báo cấm đi ngược chiều,A,B,3,visual_recognition,needs_manual_review,Inspect the source video and revise this note.
train_1235,966b1964_033_clip_001_0000_0009_N,/workspace/RoadBuddy/data/train/videos/966b1964_033_clip_001_0000_0009_N.mp4,"Trong video này, người lái xe có thể quan sát thấy biển báo nào ở phía bên phải?",A. Biển cấm đỗ xe,B. Biển cấm đỗ,A,B,3,visual_recognition,needs_manual_review,Inspect the source video and revise this note.
train_1203,03cde2e3_322_clip_017_0123_0129_N,/workspace/RoadBuddy/data/train/videos/03cde2e3_322_clip_017_0123_0129_N.mp4,"Trong video này, biển báo lớn màu vàng đầu tiên có nội dung cảnh báo về điều gì?",A. Giữ khoảng cách an toàn,B. Giữ khoảng cách an toàn,A,B,3,visual_recognition,needs_manual_review,Inspect the source video and revise this note.
train_0318,f99f0704_525_clip_015_0108_0117_Y,/workspace/RoadBuddy/data/train/videos/f99f0704_525_clip_015_0108_0117_Y.mp4,Các biển báo tại trạm thu phí trong video có ý nghĩa gì?,A. Báo hiệu khu vực trạm thu phí ETC,"B. Cấm xe tải, xe tải nhỏ, xe máy, xe đạp, xe buýt, xe khách, xe lăn, xe điện,",A,B,3,visual_recognition,needs_manual_review,Inspect the source video and revise this note.
train_0518,0ad45230_447_clip_006_0031_0037_N,/workspace/RoadBuddy/data/train/videos/0ad45230_447_clip_006_0031_0037_N.mp4,"Trong video này, để thực hiện việc chuyển sang làn bên phải, quy trình nào sau đây là đúng luật và đảm bảo an toàn nhất?","B. Quan sát gương chiếu hậu, kiểm tra điểm mù, bật tín hiệu rồi mới chuyển làn.","A. Đứng yên tại vị trí, chờ đèn tín hiệu và chờ xe chuyển sang làn bên phải.",B,A,3,temporal_information_missing,needs_manual_review,Inspect the source video and revise this note.
train_0027,26c432f6_136_clip_002_0007_0012_Y,/workspace/RoadBuddy/data/train/videos/26c432f6_136_clip_002_0007_0012_Y.mp4,"Ô tô đang đi trên làn đường này sẽ chỉ được phép rẽ trái và rẽ phải khi đến nút giao, đúng hay sai?",B. Sai,A. Đúng,B,A,5,temporal_information_missing,needs_manual_review,Inspect the source video and revise this note.
train_0367,236c7b87_277_clip_014_0088_0098_Y,/workspace/RoadBuddy/data/train/videos/236c7b87_277_clip_014_0088_0098_Y.mp4,Trong video này có biển báo nguy hiểm Đường giao nhau không?,B. Không,A. Có,B,A,3,visual_recognition,needs_manual_review,Inspect the source video and revise this note.
train_0520,0ad45230_447_clip_006_0031_0037_N,/workspace/RoadBuddy/data/train/videos/0ad45230_447_clip_006_0031_0037_N.mp4,"Trong video này, khi tiến đến gần vạch kẻ đường dành cho người đi bộ, người lái xe phải thực hiện hành động ưu tiên nào sau đây?","B. Giảm tốc độ, quan sát và sẵn sàng dừng lại nhường đường.",A. Đứng yên và chờ người đi bộ qua,B,A,3,temporal_information_missing,needs_manual_review,Inspect the source video and revise this note.
train_0291,6232b17a_545_clip_023_0168_0180_Y,/workspace/RoadBuddy/data/train/videos/6232b17a_545_clip_023_0168_0180_Y.mp4,Chọn đáp án đầy đủ và chính xác nhất về các biển báo xuất hiện trong video?,B. Biển báo chỉ dẫn điện thoại khẩn cấp và biển báo chỉ dẫn hướng và khoảng cách đến lối ra trên đường cao tố,"A. Biển báo cấm, biển báo giới hạn tốc độ, biển báo cấm đỗ, biển báo cấm đỗ xe, biển báo",B,A,3,visual_recognition,needs_manual_review,Inspect the source video and revise this note.
