sample_id,group_id,video_path,question,option_a,option_b,option_c,option_d,visual_required,temporal_required,traffic_knowledge_required,mixed_or_ambiguous,primary_label,annotator_note
train_0006,464458b4_386_clip_006_0039_0048_Y,/workspace/RoadBuddy/data/train/videos/464458b4_386_clip_006_0039_0048_Y.mp4,Làn đường xe đang chạy có được phép rẽ trái hay không?,Được phép,Không được phép,,,,,,,,
train_0040,81392443_006_clip_005_0028_0035_Y,/workspace/RoadBuddy/data/train/videos/81392443_006_clip_005_0028_0035_Y.mp4,Xe mô tô có được phép đi ở làn này không?,Có,Không,,,,,,,,
train_0041,81392443_006_clip_005_0028_0035_Y,/workspace/RoadBuddy/data/train/videos/81392443_006_clip_005_0028_0035_Y.mp4,Làn mà xe đang đi dành cho loại phương tiện nào?,Đường dành cho ô tô và mô tô,Đường dành cho ô tô,Đường dành cho xe gắn máy,Tất cả các phương tiện,,,,,,
train_0042,a5cb63a2_035_clip_001_0000_0007_Y,/workspace/RoadBuddy/data/train/videos/a5cb63a2_035_clip_001_0000_0007_Y.mp4,Trong video xuất hiện những biển báo cấm nào?,Biển cấm dừng và đỗ xe,"Biển cấm dừng và đỗ xe, biển cấm đỗ xe ngày lẽ","Biển cấm dừng và đỗ xe, biển cấm đỗ xe ngày lẽ, biển cấm đỗ xe","Biển cấm dừng và đỗ xe, biển cấm đỗ xe",,,,,,
train_0043,a5cb63a2_035_clip_001_0000_0007_Y,/workspace/RoadBuddy/data/train/videos/a5cb63a2_035_clip_001_0000_0007_Y.mp4,Trong video có xuất hiện biển cảnh báo không?,Có,Không,,,,,,,,
train_0044,a5cb63a2_035_clip_001_0000_0007_Y,/workspace/RoadBuddy/data/train/videos/a5cb63a2_035_clip_001_0000_0007_Y.mp4,Trong video xuất hiện biển báo nguy hiểm nào?,Biển đường giao nhau,Biển đường hẹp bên phải,Biển đường giao nhau,Biển chỗ ngoặt nguy hiểm vòng bên phải,,,,,,
train_0050,23245211_035_clip_008_0051_0060_Y,/workspace/RoadBuddy/data/train/videos/23245211_035_clip_008_0051_0060_Y.mp4,Có những biển chỉ dẫn nào trong video?,Hướng đi theo vạch kẻ đường,"Cầu vượt liên thông, hướng đi theo vạch kẻ đường","Làn dành cho xe khách, Đường có làn dành cho xe khách",Đường có làn dành cho xe khách,,,,,,
train_0051,23245211_035_clip_008_0051_0060_Y,/workspace/RoadBuddy/data/train/videos/23245211_035_clip_008_0051_0060_Y.mp4,Xe đang đi trên làn hiện tại có được quay đầu không?,Có,Không,,,,,,,,
train_0058,5dc7b3e6_183_clip_007_0041_0050_Y,/workspace/RoadBuddy/data/train/videos/5dc7b3e6_183_clip_007_0041_0050_Y.mp4,"Trong video, cụm vạch kẻ nằm ngang trên làn đường đang chạy có ý nghĩa gì?",Quy định nơi người đi bộ qua đường,Quy định nơi xe đạp qua đường,Báo hiệu đoạn đường cần giảm tốc độ,Báo hiệu phía trước có chỗ giao nhau với đường sắt,,,,,,
train_0059,5dc7b3e6_183_clip_007_0041_0050_Y,/workspace/RoadBuddy/data/train/videos/5dc7b3e6_183_clip_007_0041_0050_Y.mp4,"Trong video, các phương tiện có thể đi theo các hướng nào?",Chỉ đi thẳng,Đi thẳng và rẽ phải,Đi thẳng và rẽ trái,"Đi thẳng, rẽ phải và rẽ trái",,,,,,
train_0060,5dc7b3e6_183_clip_007_0041_0050_Y,/workspace/RoadBuddy/data/train/videos/5dc7b3e6_183_clip_007_0041_0050_Y.mp4,"Biển báo trong video hướng dẫn các phương tiện có thể quay đầu, đúng hay sai?",Đúng,Sai,,,,,,,,
train_0061,8ae769ed_183_clip_008_0050_0060_Y,/workspace/RoadBuddy/data/train/videos/8ae769ed_183_clip_008_0050_0060_Y.mp4,"Theo biển chỉ dẫn, các phương tiện giao thông trên làn đường ngoài cùng bên phải được phép đi theo hướng nào khi đến nút giao?",Chỉ được phép đi thẳng,Đi thẳng và rẽ phải,Đi thẳng và rẽ trái,"Đi thẳng, rẽ phải và rẽ trái",,,,,,
train_0062,8ae769ed_183_clip_008_0050_0060_Y,/workspace/RoadBuddy/data/train/videos/8ae769ed_183_clip_008_0050_0060_Y.mp4,Nếu xe ô tô đang chạy ở làn ngoài cùng bên trái thì khi đến nút giao được phép đi thẳng hoặc quay đầu xe đúng hay sai?,Đúng,Sai,,,,,,,,
train_0063,8ae769ed_183_clip_008_0050_0060_Y,/workspace/RoadBuddy/data/train/videos/8ae769ed_183_clip_008_0050_0060_Y.mp4,Biển cảnh báo nguy hiểm trên làn đường đang chạy có ý nghĩa gì?,Cảnh báo phía trước có chướng ngại vật,Cảnh báo đường hẹp bên phải,Cảnh báo chỗ ngoặt nguy hiểm vòng bên phải,Cảnh báo đường trơn,,,,,,
train_0070,add702c9_063_clip_003_0017_0024_Y,/workspace/RoadBuddy/data/train/videos/add702c9_063_clip_003_0017_0024_Y.mp4,Phương tiện trong video vừa đi ngang qua địa điểm nào?,Cầu Khánh Hội,Cầu Nhơn Hội,Cầu Phú Mỹ,Cầu Kênh Tẻ,,,,,,
train_0071,add702c9_063_clip_003_0017_0024_Y,/workspace/RoadBuddy/data/train/videos/add702c9_063_clip_003_0017_0024_Y.mp4,"Phương tiện trong video đang di chuyển trong hầm chui, đúng hay sai?",Đúng,Sai,,,,,,,,
train_0078,4a8ff810_544_clip_001_0000_0005_Y,/workspace/RoadBuddy/data/train/videos/4a8ff810_544_clip_001_0000_0005_Y.mp4,Làn đường của xe máy có những biển báo nào?,Biển báo nguy hiểm,Biển báo cấm,Hết hạn chế tốc độ tối thiểu,Tất cả đáp án trên,,,,,,
train_0079,4a8ff810_544_clip_001_0000_0005_Y,/workspace/RoadBuddy/data/train/videos/4a8ff810_544_clip_001_0000_0005_Y.mp4,"Video tại khu vực giao thông đường nội khu, đúng hay sai?",Đúng,Sai,,,,,,,,
train_0088,83f02dc7_100_clip_001_0000_0006_N,/workspace/RoadBuddy/data/train/videos/83f02dc7_100_clip_001_0000_0006_N.mp4,Biển báo trong video là loại biển báo gì?,Dành cho người đi bộ sang ngang,Trẻ em,Dành cho người khuyết tật,Cầu vượt qua đường,,,,,,
train_0089,83f02dc7_100_clip_001_0000_0006_N,/workspace/RoadBuddy/data/train/videos/83f02dc7_100_clip_001_0000_0006_N.mp4,Biển báo đầu tiên xuất hiện trong video là loại biển báo gì?,Biển báo nguy hiểm,Biển báo hiệu lệnh,Biển báo cấm,Biển báo chỉ dẫn,,,,,,
train_0092,963a8617_100_clip_003_0011_0017_Y,/workspace/RoadBuddy/data/train/videos/963a8617_100_clip_003_0011_0017_Y.mp4,Trong video có những biển báo gì?,Trạm sửa chữa,Chỉ dẫn cây xăng ở phía trước,"Dành cho người khuyết tật, Cây xăng, Giao nhau với đường không ưu tiên","Cầu vượt qua đường, Giao nhau với đường không ưu tiên",,,,,,
train_0093,963a8617_100_clip_003_0011_0017_Y,/workspace/RoadBuddy/data/train/videos/963a8617_100_clip_003_0011_0017_Y.mp4,"Trong video xuất hiện biển báo nguy hiểm, đúng hay sai?",Đúng,Sai,,,,,,,,
train_0098,ff86cc31_100_clip_015_0101_0107_Y,/workspace/RoadBuddy/data/train/videos/ff86cc31_100_clip_015_0101_0107_Y.mp4,Trong video có xuất hiện biển báo hiệu lệnh không?,Có,Không,,,,,,,,
train_0099,ff86cc31_100_clip_015_0101_0107_Y,/workspace/RoadBuddy/data/train/videos/ff86cc31_100_clip_015_0101_0107_Y.mp4,Có mấy loại biển báo xuất hiện trong video?,1,2,3,4,,,,,,
train_0104,5d3d9e56_100_clip_025_0166_0172_Y,/workspace/RoadBuddy/data/train/videos/5d3d9e56_100_clip_025_0166_0172_Y.mp4,Biển báo xuất hiện đầu tiên trong video có ý nghĩa gì?,Sắp giao nhau với đường không ưu tiên.,Sắp giao nhau với đường ưu tiên.,Không có ý nghĩ,Sắp giao nhau với đường giành cho xe thô sơ.,,,,,,
train_0105,5d3d9e56_100_clip_025_0166_0172_Y,/workspace/RoadBuddy/data/train/videos/5d3d9e56_100_clip_025_0166_0172_Y.mp4,Biển báo hiện tại có ý nghĩa gì?,Sắp giao nhau với đường không ưu tiên.,Sắp giao nhau với đường ưu tiên.,Không có ý nghĩ,Sắp giao nhau với đường giành cho xe thô sơ.,,,,,,
train_0106,a974d079_345_clip_001_0000_0009_Y,/workspace/RoadBuddy/data/train/videos/a974d079_345_clip_001_0000_0009_Y.mp4,Đoạn đường trong video này có biển báo cấm không?,Không,Có,,,,,,,,
train_0107,a974d079_345_clip_001_0000_0009_Y,/workspace/RoadBuddy/data/train/videos/a974d079_345_clip_001_0000_0009_Y.mp4,Biển tam giác viền đỏ trong video có ý nghĩa gì?,Báo hiệu phía trước có đường giao nhau,Báo hiệu phía trước có khúc cua nguy hiểm bên phải,Báo hiệu khu vực thi công,Báo hiệu đường hẹp,,,,,,
