sample_id,group_id,question_type,answer,prediction,raw_response,correct,num_tiles,experiment,frame_count,num_patches_list
train_0042,a5cb63a2_035_clip_001_0000_0007_Y,unknown,D,B,B,False,7,phase01_lora_r16_F1,,
train_0050,23245211_035_clip_008_0051_0060_Y,unknown,A,B,B,False,7,phase01_lora_r16_F1,,
train_0051,23245211_035_clip_008_0051_0060_Y,unknown,B,A,A,False,7,phase01_lora_r16_F1,,
train_0058,5dc7b3e6_183_clip_007_0041_0050_Y,unknown,C,B,B,False,7,phase01_lora_r16_F1,,
train_0060,5dc7b3e6_183_clip_007_0041_0050_Y,unknown,B,A,A,False,7,phase01_lora_r16_F1,,
train_0042,a5cb63a2_035_clip_001_0000_0007_Y,unknown,D,B,B,False,7,phase01_zero_shot_F1,,
train_0050,23245211_035_clip_008_0051_0060_Y,unknown,A,B,B,False,7,phase01_zero_shot_F1,,
train_0051,23245211_035_clip_008_0051_0060_Y,unknown,B,A,A. Có,False,7,phase01_zero_shot_F1,,
train_0058,5dc7b3e6_183_clip_007_0041_0050_Y,unknown,C,B,B,False,7,phase01_zero_shot_F1,,
train_0060,5dc7b3e6_183_clip_007_0041_0050_Y,unknown,B,A,A. Đúng,False,7,phase01_zero_shot_F1,,
train_0042,a5cb63a2_035_clip_001_0000_0007_Y,unknown,D,B,B,False,7,phase02_lora_r16_F1,1.0,[7]
train_0051,23245211_035_clip_008_0051_0060_Y,unknown,B,A,A,False,7,phase02_lora_r16_F1,1.0,[7]
train_0058,5dc7b3e6_183_clip_007_0041_0050_Y,unknown,C,B,B,False,7,phase02_lora_r16_F1,1.0,[7]
train_0059,5dc7b3e6_183_clip_007_0041_0050_Y,unknown,B,A,A,False,7,phase02_lora_r16_F1,1.0,[7]
train_0060,5dc7b3e6_183_clip_007_0041_0050_Y,unknown,B,A,A,False,7,phase02_lora_r16_F1,1.0,[7]
train_0042,a5cb63a2_035_clip_001_0000_0007_Y,unknown,D,B,B,False,21,phase02_lora_r16_F3,3.0,"[7, 7, 7]"
train_0050,23245211_035_clip_008_0051_0060_Y,unknown,A,B,B,False,21,phase02_lora_r16_F3,3.0,"[7, 7, 7]"
train_0051,23245211_035_clip_008_0051_0060_Y,unknown,B,A,A,False,21,phase02_lora_r16_F3,3.0,"[7, 7, 7]"
train_0058,5dc7b3e6_183_clip_007_0041_0050_Y,unknown,C,B,B,False,21,phase02_lora_r16_F3,3.0,"[7, 7, 7]"
train_0060,5dc7b3e6_183_clip_007_0041_0050_Y,unknown,B,A,A,False,21,phase02_lora_r16_F3,3.0,"[7, 7, 7]"
train_0042,a5cb63a2_035_clip_001_0000_0007_Y,unknown,D,B,B,False,56,phase02_lora_r16_F8,8.0,"[7, 7, 7, 7, 7, 7, 7, 7]"
train_0050,23245211_035_clip_008_0051_0060_Y,unknown,A,B,B,False,56,phase02_lora_r16_F8,8.0,"[7, 7, 7, 7, 7, 7, 7, 7]"
train_0051,23245211_035_clip_008_0051_0060_Y,unknown,B,A,A,False,56,phase02_lora_r16_F8,8.0,"[7, 7, 7, 7, 7, 7, 7, 7]"
train_0058,5dc7b3e6_183_clip_007_0041_0050_Y,unknown,C,B,B,False,56,phase02_lora_r16_F8,8.0,"[7, 7, 7, 7, 7, 7, 7, 7]"
train_0060,5dc7b3e6_183_clip_007_0041_0050_Y,unknown,B,A,A,False,56,phase02_lora_r16_F8,8.0,"[7, 7, 7, 7, 7, 7, 7, 7]"
train_0042,a5cb63a2_035_clip_001_0000_0007_Y,unknown,D,B,B,False,7,phase02_zero_shot_F1,1.0,[7]
train_0050,23245211_035_clip_008_0051_0060_Y,unknown,A,B,B,False,7,phase02_zero_shot_F1,1.0,[7]
train_0051,23245211_035_clip_008_0051_0060_Y,unknown,B,A,A. Có,False,7,phase02_zero_shot_F1,1.0,[7]
train_0058,5dc7b3e6_183_clip_007_0041_0050_Y,unknown,C,B,B,False,7,phase02_zero_shot_F1,1.0,[7]
train_0071,add702c9_063_clip_003_0017_0024_Y,unknown,B,A,A. Đúng,False,7,phase02_zero_shot_F1,1.0,[7]
train_0042,a5cb63a2_035_clip_001_0000_0007_Y,unknown,D,B,B,False,21,phase02_zero_shot_F3,3.0,"[7, 7, 7]"
train_0050,23245211_035_clip_008_0051_0060_Y,unknown,A,B,B,False,21,phase02_zero_shot_F3,3.0,"[7, 7, 7]"
train_0051,23245211_035_clip_008_0051_0060_Y,unknown,B,A,A. Có,False,21,phase02_zero_shot_F3,3.0,"[7, 7, 7]"
train_0058,5dc7b3e6_183_clip_007_0041_0050_Y,unknown,C,B,B,False,21,phase02_zero_shot_F3,3.0,"[7, 7, 7]"
train_0071,add702c9_063_clip_003_0017_0024_Y,unknown,B,A,A. Đúng,False,21,phase02_zero_shot_F3,3.0,"[7, 7, 7]"
train_0006,464458b4_386_clip_006_0039_0048_Y,unknown,B,D,D,False,56,phase02_zero_shot_F8,8.0,"[7, 7, 7, 7, 7, 7, 7, 7]"
train_0042,a5cb63a2_035_clip_001_0000_0007_Y,unknown,D,B,B,False,56,phase02_zero_shot_F8,8.0,"[7, 7, 7, 7, 7, 7, 7, 7]"
train_0050,23245211_035_clip_008_0051_0060_Y,unknown,A,B,B,False,56,phase02_zero_shot_F8,8.0,"[7, 7, 7, 7, 7, 7, 7, 7]"
train_0051,23245211_035_clip_008_0051_0060_Y,unknown,B,A,A. Có,False,56,phase02_zero_shot_F8,8.0,"[7, 7, 7, 7, 7, 7, 7, 7]"
train_0058,5dc7b3e6_183_clip_007_0041_0050_Y,unknown,C,B,B,False,56,phase02_zero_shot_F8,8.0,"[7, 7, 7, 7, 7, 7, 7, 7]"
train_0042,a5cb63a2_035_clip_001_0000_0007_Y,unknown,D,B,B,False,7,phase03_r8_F1,,
train_0050,23245211_035_clip_008_0051_0060_Y,unknown,A,B,B,False,7,phase03_r8_F1,,
train_0051,23245211_035_clip_008_0051_0060_Y,unknown,B,A,A,False,7,phase03_r8_F1,,
train_0058,5dc7b3e6_183_clip_007_0041_0050_Y,unknown,C,B,B,False,7,phase03_r8_F1,,
train_0060,5dc7b3e6_183_clip_007_0041_0050_Y,unknown,B,A,A,False,7,phase03_r8_F1,,
